日期,index_net
2017-12-22,112.527000
2017-12-25,112.521700
2017-12-26,112.457100
2017-12-27,112.412800
2017-12-28,112.440900
2017-12-29,112.489000
2017-12-30,112.494400
2017-12-31,112.495700
2018-01-02,112.493600
2018-01-03,112.473800
2018-01-04,112.419900
2018-01-05,112.525000
2018-01-08,112.624300
2018-01-09,112.677200
2018-01-10,112.598500
2018-01-11,112.526100
2018-01-12,112.579000
2018-01-15,112.467300
2018-01-16,112.489200
2018-01-17,112.459500
2018-01-18,112.401900
2018-01-19,112.423000
2018-01-22,112.466500
2018-01-23,112.511800
2018-01-24,112.516200
2018-01-25,112.516800
2018-01-26,112.548800
2018-01-29,112.556300
2018-01-30,112.547600
2018-01-31,112.610200
2018-02-01,112.645700
2018-02-02,112.653400
2018-02-05,112.617200
2018-02-06,112.765800
2018-02-07,112.854100
2018-02-08,112.809800
2018-02-09,112.854800
2018-02-11,112.866000
2018-02-12,112.867600
2018-02-13,112.896000
2018-02-14,112.910100
2018-02-22,112.897000
2018-02-23,112.942100
2018-02-24,112.970600
2018-02-26,113.179300
2018-02-27,113.296300
2018-02-28,113.376500
2018-03-01,113.358900
2018-03-02,113.313100
2018-03-05,113.238800
2018-03-06,113.248200
2018-03-07,113.302000
2018-03-08,113.327800
2018-03-09,113.362900
2018-03-12,113.389900
2018-03-13,113.349700
2018-03-14,113.341100
2018-03-15,113.366000
2018-03-16,113.446800
2018-03-19,113.427000
2018-03-20,113.515100
2018-03-21,113.600100
2018-03-22,113.731800
2018-03-23,114.025600
2018-03-26,113.965300
2018-03-27,113.880400
2018-03-28,113.872700
2018-03-29,113.836500
2018-03-30,113.835300
2018-04-02,113.865200
2018-04-03,113.880200
2018-04-04,113.941900
2018-04-08,114.023800
2018-04-09,114.246200
2018-04-10,114.240400
2018-04-11,114.291000
2018-04-12,114.349800
2018-04-13,114.443400
2018-04-16,114.616200
2018-04-17,114.703800
2018-04-18,115.752700
2018-04-19,115.610500
2018-04-20,115.640000
2018-04-23,115.318800
2018-04-24,115.402600
2018-04-25,115.285800
2018-04-26,115.212700
2018-04-27,115.126800
2018-04-28,115.167100
2018-05-02,115.002300
2018-05-03,115.033900
2018-05-04,115.107800
2018-05-07,115.042200
2018-05-08,114.873300
2018-05-09,114.785800
2018-05-10,114.830800
2018-05-11,114.889200
2018-05-14,114.838400
2018-05-15,114.731200
2018-05-16,114.723700
2018-05-17,114.650500
2018-05-18,114.722200
2018-05-21,114.783600
2018-05-22,114.908700
2018-05-23,115.008400
2018-05-24,115.010200
2018-05-25,115.187700
2018-05-28,115.191500
2018-05-29,115.172700
2018-05-30,115.200400
2018-05-31,115.107900
2018-06-01,115.016500
2018-06-04,114.820600
2018-06-05,114.757600
2018-06-06,114.680900
2018-06-07,114.655600
2018-06-08,114.736100
2018-06-11,114.713500
2018-06-12,114.566800
2018-06-13,114.653400
2018-06-14,114.762700
2018-06-15,114.885700
2018-06-19,115.097500
2018-06-20,114.968900
2018-06-21,115.039600
2018-06-22,115.083500
2018-06-25,115.044400
2018-06-26,115.075800
2018-06-27,115.127800
2018-06-28,115.350300
2018-06-29,115.780000
2018-07-02,115.835100
2018-07-03,115.839000
2018-07-04,115.801100
2018-07-05,115.877600
2018-07-06,115.754900
2018-07-09,115.670300
2018-07-10,115.638800
2018-07-11,115.711000
2018-07-12,115.720300
2018-07-13,115.898300
2018-07-16,115.958300
2018-07-17,115.946100
2018-07-18,116.019000
2018-07-19,116.159800
2018-07-20,115.969300
2018-07-23,115.893700
2018-07-24,115.703400
2018-07-25,115.682900
2018-07-26,115.732700
2018-07-27,115.880500
2018-07-30,115.941400
2018-07-31,116.143300
2018-08-01,116.250300
2018-08-02,116.265600
2018-08-03,116.366900
2018-08-06,116.399800
2018-08-07,116.375600
2018-08-08,116.166200
2018-08-09,115.841500
2018-08-10,115.786100
2018-08-13,115.509900
2018-08-14,115.589400
2018-08-15,115.535000
2018-08-16,115.393700
2018-08-17,114.841500
2018-08-20,114.856700
2018-08-21,114.719500
2018-08-22,114.845800
2018-08-23,114.968300
2018-08-24,114.949900
2018-08-27,114.921300
2018-08-28,114.949600
2018-08-29,114.920500
2018-08-30,115.054800
2018-08-31,115.113300
2018-09-03,114.985700
2018-09-04,114.878600
2018-09-05,114.874500
2018-09-06,114.845900
2018-09-07,114.782200
2018-09-10,114.533000
2018-09-11,114.419400
2018-09-12,114.463900
2018-09-13,114.516700
2018-09-14,114.614100
2018-09-17,114.669500
2018-09-18,114.661500
2018-09-19,114.545800
2018-09-20,114.474400
2018-09-21,114.566900
2018-09-25,114.615100
2018-09-26,114.719500
2018-09-27,114.850100
2018-09-28,114.904100
2018-09-29,114.940000
2018-09-30,114.952900
2018-10-08,114.936500
2018-10-09,114.941800
2018-10-10,114.982000
2018-10-11,115.197000
2018-10-12,115.213600
2018-10-15,115.178600
2018-10-16,115.212000
2018-10-17,115.218400
2018-10-18,115.365000
2018-10-19,115.434600
2018-10-22,115.341800
2018-10-23,115.375600
2018-10-24,115.518600
2018-10-25,115.608300
2018-10-26,115.636600
2018-10-29,115.770600
2018-10-30,115.851500
2018-10-31,115.868000
2018-11-01,115.917300
2018-11-02,115.714900
2018-11-05,115.744400
2018-11-06,115.834700
2018-11-07,116.036300
2018-11-08,116.074200
2018-11-09,116.101200
2018-11-12,116.129400
2018-11-13,116.218500
2018-11-14,116.597800
2018-11-15,116.814500
2018-11-16,117.161800
2018-11-19,117.145800
2018-11-20,116.978000
2018-11-21,117.057200
2018-11-22,116.982100
2018-11-23,116.884100
2018-11-26,116.812700
2018-11-27,116.844100
2018-11-28,116.941200
2018-11-29,117.090300
2018-11-30,117.123400
2018-12-03,117.129000
2018-12-04,117.429900
2018-12-05,117.569800
2018-12-06,117.734300
2018-12-07,117.840300
2018-12-10,117.958900
2018-12-11,118.043900
2018-12-12,118.046000
2018-12-13,117.652600
2018-12-14,117.594100
2018-12-17,117.441000
2018-12-18,117.463800
2018-12-19,117.527000
2018-12-20,117.728700
2018-12-21,117.757000
2018-12-24,117.685600
2018-12-25,117.718300
2018-12-26,117.806800
2018-12-27,117.986300
2018-12-28,118.284800
2018-12-29,118.331300
2018-12-30,118.323100
2018-12-31,118.322800
2019-01-02,118.664100
2019-01-03,118.726100
2019-01-04,118.659000
2019-01-07,118.601000
2019-01-08,118.846500
2019-01-09,118.756700
2019-01-10,118.693300
2019-01-11,118.684400
2019-01-14,118.573000
2019-01-15,118.516200
2019-01-16,118.892500
2019-01-17,118.937700
2019-01-18,118.809800
2019-01-21,118.752200
2019-01-22,118.746000
2019-01-23,118.732600
2019-01-24,118.637700
2019-01-25,118.579100
2019-01-28,118.479400
2019-01-29,118.637300
2019-01-30,118.728000
2019-01-31,118.785700
2019-02-01,118.794600
2019-02-02,118.844500
2019-02-03,118.878500
2019-02-11,118.916500
2019-02-12,118.938600
2019-02-13,118.972000
2019-02-14,118.929200
2019-02-15,118.902500
2019-02-18,118.741300
2019-02-19,118.732300
2019-02-20,118.738100
2019-02-21,118.703100
2019-02-22,118.745000
2019-02-25,118.413200
2019-02-26,118.243800
2019-02-27,118.366000
2019-02-28,118.304800
2019-03-01,118.224600
2019-03-04,118.155200
2019-03-05,118.069700
2019-03-06,118.067700
2019-03-07,118.242100
2019-03-08,118.360300
2019-03-11,118.385400
2019-03-12,118.353200
2019-03-13,118.349700
2019-03-14,118.291100
2019-03-15,118.324000
2019-03-18,118.319000
2019-03-19,118.332400
2019-03-20,118.289300
2019-03-21,118.361300
2019-03-22,118.507900
2019-03-25,118.641400
2019-03-26,118.709400
2019-03-27,118.670200
2019-03-28,118.730700
2019-03-29,118.804400
2019-04-01,118.447400
2019-04-02,118.317400
2019-04-03,117.879300
2019-04-04,117.729600
2019-04-08,117.734500
2019-04-09,117.458500
2019-04-10,117.416900
2019-04-11,117.428400
2019-04-12,117.250400
2019-04-15,116.846700
2019-04-16,116.656300
2019-04-17,116.630400
2019-04-18,116.830100
2019-04-19,116.726200
2019-04-22,116.543800
2019-04-23,116.531300
2019-04-24,116.340800
2019-04-25,116.439700
2019-04-26,116.536000
2019-04-28,116.550300
2019-04-29,116.493700
2019-04-30,116.613300
2019-05-05,116.642600
2019-05-06,116.845700
2019-05-07,116.786200
2019-05-08,116.868100
2019-05-09,117.036200
2019-05-10,117.050200
2019-05-13,117.195900
2019-05-14,117.101300
2019-05-15,117.102800
2019-05-16,117.201900
2019-05-17,117.112700
2019-05-20,117.099400
2019-05-21,117.004900
2019-05-22,116.914200
2019-05-23,117.009600
2019-05-24,117.036700
2019-05-27,116.802700
2019-05-28,116.943500
2019-05-29,117.126300
2019-05-30,117.189900
2019-05-31,117.165100
2019-06-03,117.337600
2019-06-04,117.559200
2019-06-05,117.628500
2019-06-06,117.679900
2019-06-10,117.587500
2019-06-11,117.349000
2019-06-12,117.356800
2019-06-13,117.460400
2019-06-14,117.627600
2019-06-17,117.678200
2019-06-18,117.637800
2019-06-19,117.556400
2019-06-20,117.631400
2019-06-21,117.605800
2019-06-24,117.487100
2019-06-25,117.529700
2019-06-26,117.476600
2019-06-27,117.431000
2019-06-28,117.545200
2019-07-01,117.558000
2019-07-02,117.930700
2019-07-03,118.050100
2019-07-04,118.108800
2019-07-05,118.027700
2019-07-08,117.938200
2019-07-09,117.960600
2019-07-10,117.940500
2019-07-11,117.993300
2019-07-12,118.056900
2019-07-15,117.939700
2019-07-16,117.915800
2019-07-17,117.879500
2019-07-18,117.945300
2019-07-19,117.890600
2019-07-22,117.976900
2019-07-23,118.017000
2019-07-24,117.904500
2019-07-25,117.947800
2019-07-26,117.930700
2019-07-29,117.836700
2019-07-30,117.852300
2019-07-31,117.992500
2019-08-01,118.036900
2019-08-02,118.377200
2019-08-05,118.662100
2019-08-06,118.605400
2019-08-07,118.705000
2019-08-08,118.733700
2019-08-09,118.901600
2019-08-12,118.809000
2019-08-13,119.012100
2019-08-14,119.129100
2019-08-15,119.167000
2019-08-16,119.105900
2019-08-19,119.161400
2019-08-20,119.085500
2019-08-21,118.913600
